,SOC,SOH,Power,T,SEI_after,SEI_delta
6775,47,1.8889,0.57895,23,1.88890049731996e-08,49.73199598
6776,47,1.8889,0.68421,23,1.88890050840599e-08,50.84059899
6777,47,1.8889,0.78947,23,1.8889005197298e-08,51.97298
6778,47,1.8889,0.89474,23,1.8889005314275802e-08,53.14275797
6779,47,1.8889,1.0,23,1.888900543405e-08,54.34049998
6790,47,2.0,0.052632000000000005,23,2.00000044572562e-08,44.57256199
6791,47,2.0,0.15789,23,2.00000045539406e-08,45.539406
6792,47,2.0,0.26316,23,2.00000046545521e-08,46.545521
6793,47,2.0,0.36841999999999997,23,2.00000047557655e-08,47.55765499
6794,47,2.0,0.47368000000000005,23,2.0000004860115502e-08,48.60115498
6795,47,2.0,0.57895,23,2.00000049676921e-08,49.676921
6796,47,2.0,0.68421,23,2.00000050767601e-08,50.76760099
6797,47,2.0,0.78947,23,2.00000051901205e-08,51.90120501
6798,47,2.0,0.89474,23,2.00000053059114e-08,53.059114
6799,47,2.0,1.0,23,2.0000005424415697e-08,54.244156999999994
6810,46,1.0,0.052632000000000005,23,1.00000044672552e-08,44.672552
6811,46,1.0,0.15789,23,1.00000045696424e-08,45.696424
6812,46,1.0,0.26316,23,1.0000004674529999e-08,46.7453
6813,46,1.0,0.36841999999999997,23,1.00000047836674e-08,47.836674
6814,46,1.0,0.47368000000000005,23,1.00000048952748e-08,48.952748
6815,46,1.0,0.57895,23,1.00000050105194e-08,50.105194
6816,46,1.0,0.68421,23,1.00000051292388e-08,51.292388
6817,46,1.0,0.78947,23,1.00000052519628e-08,52.519628000000004
6818,46,1.0,0.89474,23,1.00000053774687e-08,53.774687
6819,46,1.0,1.0,23,1.0000005507046901e-08,55.07046899
6830,46,1.1111,0.052632000000000005,23,1.1111004466417401e-08,44.664173999999996
6831,46,1.1111,0.15789,23,1.1111004568480601e-08,45.684806
6832,46,1.1111,0.26316,23,1.11110046726959e-08,46.72695901
6833,46,1.1111,0.36841999999999997,23,1.11110047804317e-08,47.80431701
6834,46,1.1111,0.47368000000000005,23,1.1111004891628399e-08,48.91628401
6835,46,1.1111,0.57895,23,1.11110050058874e-08,50.058873999999996
6836,46,1.1111,0.68421,23,1.1111005123595899e-08,51.23595901
6837,46,1.1111,0.78947,23,1.11110052449873e-08,52.44987301
6838,46,1.1111,0.89474,23,1.1111005369283e-08,53.69283000000001
6839,46,1.1111,1.0,23,1.11110054979739e-08,54.97973901
6850,46,1.2222,0.052632000000000005,23,1.2222004465728099e-08,44.657281
6851,46,1.2222,0.15789,23,1.22220045670945e-08,45.670945
6852,46,1.2222,0.26316,23,1.22220046708286e-08,46.708286
6853,46,1.2222,0.36841999999999997,23,1.2222004778081299e-08,47.780813
6854,46,1.2222,0.47368000000000005,23,1.22220048879316e-08,48.879315999999996
6855,46,1.2222,0.57895,23,1.22220050020175e-08,50.020175
6856,46,1.2222,0.68421,23,1.22220051181966e-08,51.181965999999996
6857,46,1.2222,0.78947,23,1.22220052382764e-08,52.382764
6858,46,1.2222,0.89474,23,1.22220053617159e-08,53.61715899
6859,46,1.2222,1.0,23,1.22220054889429e-08,54.88942900000001
6870,46,1.3333,0.052632000000000005,23,1.3333004464932799e-08,44.64932801
6871,46,1.3333,0.15789,23,1.3333004564929601e-08,45.649296
6872,46,1.3333,0.26316,23,1.33330046685958e-08,46.685958
6873,46,1.3333,0.36841999999999997,23,1.33330047752055e-08,47.75205501
6874,46,1.3333,0.47368000000000005,23,1.3333004884924699e-08,48.84924701
6875,46,1.3333,0.57895,23,1.3333004997283e-08,49.97283001
6876,46,1.3333,0.68421,23,1.33330051127676e-08,51.12767601
6877,46,1.3333,0.78947,23,1.33330052324001e-08,52.324001
6878,46,1.3333,0.89474,23,1.33330053542977e-08,53.542977
6879,46,1.3333,1.0,23,1.33330054801259e-08,54.80125901
6890,46,1.4444,0.052632000000000005,23,1.44440044638161e-08,44.63816101
6891,46,1.4444,0.15789,23,1.4444004563748699e-08,45.637487
6892,46,1.4444,0.26316,23,1.4444004666489699e-08,46.66489701
6893,46,1.4444,0.36841999999999997,23,1.4444004772205299e-08,47.722053
6894,46,1.4444,0.47368000000000005,23,1.4444004880986e-08,48.80986
